Player_Id,Player_Name,DOB,Batting_Hand,Bowling_Skill,Country,Is_Umpire,Column1
362,DJG Sammy,30670,Right_Hand,Right-arm medium-fast,West Indies,0,
363,KW Richardson,33281,Right_Hand,Right-arm fast-medium,Australia,0,
364,MM Sharma,32404,Right_Hand,Right-arm medium,India,0,
365,UA Birla,32829,Right_Hand,Right-arm medium,India,0,
366,Parvez Rasool,32552,Right_Hand,Right-arm offbreak,India,0,
367,Sandeep Sharma,34107,Right_Hand,Right-arm medium,India,0,
368,S Kaul,33012,Right_Hand,Right-arm medium,India,0,
369,Sachin Baby,32495,Left_Hand,Right-arm offbreak,India,0,
370,PV Tambe,26214,Right_Hand,Legbreak,India,0,
371,NM Coulter-Nile,32061,Right_Hand,Right-arm fast,Australia,0,
372,CJ Anderson,33220,Left_Hand,Left-arm medium-fast,New Zealand,0,
373,NJ Maddinson,33593,Left_Hand,Slow left-arm orthodox,Australia,0,
374,AR Patel,34354,Left_Hand,Slow left-arm orthodox,India,0,
375,JJ Bumrah,34309,Right_Hand,Right-arm medium,India,0,
376,JDS Neesham,33133,Left_Hand,Right-arm medium,New Zealand,0,
377,TG Southee,32488,Right_Hand,Right-arm medium-fast,New Zealand,0,
378,MA Starc,32903,Left_Hand,Left-arm fast,Australia,0,
379,BR Dunk,31847,Left_Hand,NULL,Australia,0,
380,RR Rossouw,32790,Left_Hand,Right-arm offbreak,South Africa,0,
381,Shivam Sharma,34221,Right_Hand,Right-arm offbreak,India,0,
382,YS Chahal,33077,Right_Hand,Legbreak googly,India,0,
383,LMP Simmons,31072,Right_Hand,Right-arm medium-fast,West Indies,0,
384,VH Zol,34661,Left_Hand,Right-arm offbreak,India,0,
385,BCJ Cutting,31807,Right_Hand,Right-arm fast-medium,Australia,0,
386,Imran Tahir,28941,Right_Hand,Legbreak googly,India,0,
387,BE Hendricks,33032,Left_Hand,Left-arm fast-medium,South Africa,0,
388,S Gopal,34216,Right_Hand,Legbreak,India,0,
389,M de Lange,33159,Right_Hand,Right-arm fast,South Africa,0,
390,R Tewatia,34109,Left_Hand,Legbreak,India,0,
391,JO Holder,33547,Right_Hand,Right-arm medium-fast,West Indies,0,
392,Karanveer Singh,32089,Right_Hand,Legbreak googly,India,0,
393,SS Iyer,34674,Right_Hand,Legbreak googly,India,0,
394,DJ Hooda,34808,Right_Hand,Right-arm offbreak,India,0,
395,Anureet Singh,32204,Right_Hand,Right-arm medium,India,0,
396,KS Williamson,33093,Right_Hand,Right-arm offbreak,New Zealand,0,
397,SA Abbott,33663,Right_Hand,Right-arm fast-medium,New Zealand,0,
398,J Suchith,34350,Left_Hand,Slow left-arm orthodox,India,0,
399,RG More,33636,Right_Hand,Right-arm medium,India,0,
400,HH Pandya,34253,Right_Hand,Right-arm medium-fast,India,0,
401,D Wiese,31185,Right_Hand,Right-arm medium-fast,South Africa,0,
402,SN Khan,35730,Right_Hand,Legbreak,India,0,
403,MJ McClenaghan,31574,Left_Hand,Left-arm fast-medium,New Zealand,0,
404,DJ Muthuswami,29654,Right_Hand,Right-arm medium,India,0,
405,PJ Cummins,34097,Right_Hand,Right-arm fast,Australia,0,
406,SN Thakur,33527,Right_Hand,Right-arm medium,India,0,
407,JC Buttler,33124,Right_Hand,NULL,England,0,
408,CR Brathwaite,32342,Right_Hand,Right-arm fast-medium,West Indies,0,
409,MP Stoinis,32736,Right_Hand,Right-arm medium,Australia,0,
410,Ishan Kishan,35994,Left_Hand,NULL,India,0,
411,C Munro,31847,Left_Hand,Right-arm medium-fast,New Zealand,0,
412,P Sahu,31280,Right_Hand,Legbreak googly,India,0,
413,KH Pandya,33321,Left_Hand,Slow left-arm orthodox,India,0,
414,AD Nath,34099,Right_Hand,Right-arm medium-fast,India,0,
415,MJ Guptill,31685,Right_Hand,Right-arm offbreak,New Zealand,0,
416,KJ Abbott,31946,Right_Hand,Right-arm fast-medium,South Africa,0,
417,TM Head,34332,Left_Hand,Right-arm offbreak,Australia,0,
418,M Ashwin,33124,Right_Hand,Legbreak googly,India,0,
419,NS Naik,34647,Right_Hand,NULL,India,0,
420,RR Pant,35707,Left_Hand,NULL,India,0,
421,SW Billings,33404,Right_Hand,NULL,England,0,
422,KC Cariappa,34437,Right_Hand,Legbreak,India,0,
423,PSP Handscomb,33354,Right_Hand,NULL,Australia,0,
424,Swapnil Singh,33260,Right_Hand,Slow left-arm orthodox,India,0,
425,J Yadav,32895,Right_Hand,Right-arm offbreak,India,0,
426,UT Khawaja,31764,Left_Hand,Right-arm medium,Australia,0,
427,HM Amla,30406,Right_Hand,Right-arm offbreak,South Africa,0,
428,F Behardien,30598,Right_Hand,Right-arm fast-medium,South Africa,0,
429,BB Sran,33948,Left_Hand,Left-arm medium,India,0,
430,A Zampa,33694,Right_Hand,Legbreak googly,Australia,0,
431,N Rana,34330,Left_Hand,Right-arm offbreak,India,0,
432,S Kaushik,34949,Right_Hand,Slow left-arm chinaman,India,0,
433,ER Dwivedi,32346,Right_Hand,NULL,India,0,
434,CJ Jordan,32420,Right_Hand,Right-arm fast-medium,England,0,
435,P Amarnath,30103,Right_Hand,Right-arm medium,India,0,
436,B Geeves,30115,Right_Hand,Right-arm fast-medium,Australia,0,
437,Gagandeep Singh,29862,Right_Hand,Right-arm medium-fast,India,0,
438,A Nel,28321,Right_Hand,Right-arm fast-medium,South Africa,0,
